facility_name,facility_id,state,condition,condition_name,measure_name,number_of_discharges,readmissions_footnote,excess_readmission_ratio,predicted_readmission_rate,expected_readmission_rate,calc_err,calc_err_match,number_of_readmissions,readm_start_date,readm_end_date
NORTH ALABAMA MEDICAL CENTER,10006,AL,AMI,Acute Myocardial Infarction,READM-30-AMI-HRRP,312.0,,1.1127,13.9536,12.5406,1.1126740347351802,1.0,49.0,7/1/18,6/30/21
NORTH ALABAMA MEDICAL CENTER,10006,AL,HIP-KNEE,Total Hip/Knee Arthroplasty,READM-30-HIP-KNEE-HRRP,246.0,,1.1885,4.8932,4.1172,1.1884776061400952,1.0,15.0,7/1/18,6/30/21
NORTH ALABAMA MEDICAL CENTER,10006,AL,CABG,Coronary Artery Bypass Graft,READM-30-CABG-HRRP,109.0,,1.3316,15.9187,11.9544,1.3316184835709028,1.0,24.0,7/1/18,6/30/21
MIZELL MEMORIAL HOSPITAL,10007,AL,COPD,Chronic Obstructive Pulmonary Disease,READM-30-COPD-HRRP,72.0,,0.9979,18.2845,18.3236,0.997866139841516,1.0,13.0,7/1/18,6/30/21
MIZELL MEMORIAL HOSPITAL,10007,AL,PN,Pneumonia,READM-30-PN-HRRP,,,0.9628,12.7792,13.273,0.9627966548632562,1.0,,7/1/18,6/30/21
MIZELL MEMORIAL HOSPITAL,10007,AL,HF,Heart Failure,READM-30-HF-HRRP,51.0,,1.1129,21.5828,19.3933,1.112899815915806,1.0,18.0,7/1/18,6/30/21
MIZELL MEMORIAL HOSPITAL,10007,AL,HIP-KNEE,Total Hip/Knee Arthroplasty,READM-30-HIP-KNEE-HRRP,,The number of cases/patients is too few to report.,,,,,,,7/1/18,6/30/21
MIZELL MEMORIAL HOSPITAL,10007,AL,AMI,Acute Myocardial Infarction,READM-30-AMI-HRRP,,The number of cases/patients is too few to report.,,,,,,,7/1/18,6/30/21
MIZELL MEMORIAL HOSPITAL,10007,AL,CABG,Coronary Artery Bypass Graft,READM-30-CABG-HRRP,,Results are not available for this reporting period.,,,,,,,7/1/18,6/30/21
CRENSHAW COMMUNITY HOSPITAL,10008,AL,HIP-KNEE,Total Hip/Knee Arthroplasty,READM-30-HIP-KNEE-HRRP,,Results are not available for this reporting period.,,,,,,,7/1/18,6/30/21
CRENSHAW COMMUNITY HOSPITAL,10008,AL,PN,Pneumonia,READM-30-PN-HRRP,,The number of cases/patients is too few to report.,,,,,,,7/1/18,6/30/21
CRENSHAW COMMUNITY HOSPITAL,10008,AL,HF,Heart Failure,READM-30-HF-HRRP,,The number of cases/patients is too few to report.,,,,,,,7/1/18,6/30/21
CRENSHAW COMMUNITY HOSPITAL,10008,AL,CABG,Coronary Artery Bypass Graft,READM-30-CABG-HRRP,,Results are not available for this reporting period.,,,,,,,7/1/18,6/30/21
CRENSHAW COMMUNITY HOSPITAL,10008,AL,AMI,Acute Myocardial Infarction,READM-30-AMI-HRRP,,The number of cases/patients is too few to report.,,,,,,,7/1/18,6/30/21
CRENSHAW COMMUNITY HOSPITAL,10008,AL,COPD,Chronic Obstructive Pulmonary Disease,READM-30-COPD-HRRP,,The number of cases/patients is too few to report.,,,,,,,7/1/18,6/30/21
ST. VINCENT'S EAST,10011,AL,AMI,Acute Myocardial Infarction,READM-30-AMI-HRRP,139.0,,1.062,13.6151,12.8204,1.0619871454868803,1.0,22.0,7/1/18,6/30/21
ST. VINCENT'S EAST,10011,AL,COPD,Chronic Obstructive Pulmonary Disease,READM-30-COPD-HRRP,101.0,,1.0372,19.9435,19.2283,1.0371951758605804,1.0,23.0,7/1/18,6/30/21
ST. VINCENT'S EAST,10011,AL,PN,Pneumonia,READM-30-PN-HRRP,346.0,,1.0074,16.6045,16.4818,1.007444575228434,1.0,58.0,7/1/18,6/30/21
ST. VINCENT'S EAST,10011,AL,CABG,Coronary Artery Bypass Graft,READM-30-CABG-HRRP,61.0,,1.1654,13.9706,11.9876,1.1654209349661315,1.0,12.0,7/1/18,6/30/21
ST. VINCENT'S EAST,10011,AL,HIP-KNEE,Total Hip/Knee Arthroplasty,READM-30-HIP-KNEE-HRRP,,,1.0233,4.4638,4.3622,1.0232909999541517,1.0,,7/1/18,6/30/21
ST. VINCENT'S EAST,10011,AL,HF,Heart Failure,READM-30-HF-HRRP,299.0,,0.9148,19.3276,21.1272,0.9148207050626681,1.0,52.0,7/1/18,6/30/21
DEKALB REGIONAL MEDICAL CENTER,10012,AL,COPD,Chronic Obstructive Pulmonary Disease,READM-30-COPD-HRRP,,,1.02,14.5533,14.2676,1.0200243909276963,1.0,,7/1/18,6/30/21
DEKALB REGIONAL MEDICAL CENTER,10012,AL,CABG,Coronary Artery Bypass Graft,READM-30-CABG-HRRP,,Results are not available for this reporting period.,,,,,,,7/1/18,6/30/21
DEKALB REGIONAL MEDICAL CENTER,10012,AL,HIP-KNEE,Total Hip/Knee Arthroplasty,READM-30-HIP-KNEE-HRRP,,,0.9313,2.8177,3.0256,0.9312863564251719,1.0,,7/1/18,6/30/21
DEKALB REGIONAL MEDICAL CENTER,10012,AL,HF,Heart Failure,READM-30-HF-HRRP,106.0,,1.0162,18.8503,18.5498,1.0161996355755858,1.0,21.0,7/1/18,6/30/21
DEKALB REGIONAL MEDICAL CENTER,10012,AL,AMI,Acute Myocardial Infarction,READM-30-AMI-HRRP,,,1.0363,12.2206,11.7924,1.0363115226756214,1.0,,7/1/18,6/30/21
DEKALB REGIONAL MEDICAL CENTER,10012,AL,PN,Pneumonia,READM-30-PN-HRRP,214.0,,0.9752,14.3938,14.7605,0.9751566681345483,1.0,29.0,7/1/18,6/30/21
SHELBY BAPTIST MEDICAL CENTER,10016,AL,PN,Pneumonia,READM-30-PN-HRRP,214.0,,1.0486,17.0641,16.274,1.0485498340911883,0.0,40.0,7/1/18,6/30/21
SHELBY BAPTIST MEDICAL CENTER,10016,AL,CABG,Coronary Artery Bypass Graft,READM-30-CABG-HRRP,,,1.0279,12.19,11.8594,1.0278766210769514,1.0,,7/1/18,6/30/21
SHELBY BAPTIST MEDICAL CENTER,10016,AL,COPD,Chronic Obstructive Pulmonary Disease,READM-30-COPD-HRRP,96.0,,0.9592,20.1264,20.9822,0.9592130472495736,1.0,16.0,7/1/18,6/30/21
SHELBY BAPTIST MEDICAL CENTER,10016,AL,HF,Heart Failure,READM-30-HF-HRRP,228.0,,0.975,21.7946,22.3531,0.9750146512116886,1.0,48.0,7/1/18,6/30/21
SHELBY BAPTIST MEDICAL CENTER,10016,AL,HIP-KNEE,Total Hip/Knee Arthroplasty,READM-30-HIP-KNEE-HRRP,,,0.9737,4.1629,4.2752,0.9737322230538922,1.0,,7/1/18,6/30/21
SHELBY BAPTIST MEDICAL CENTER,10016,AL,AMI,Acute Myocardial Infarction,READM-30-AMI-HRRP,100.0,,0.9436,14.0266,14.8656,0.9435609729846087,1.0,11.0,7/1/18,6/30/21
CALLAHAN EYE HOSPITAL,10018,AL,PN,Pneumonia,READM-30-PN-HRRP,,Results are not available for this reporting period.,,,,,,,7/1/18,6/30/21
CALLAHAN EYE HOSPITAL,10018,AL,HIP-KNEE,Total Hip/Knee Arthroplasty,READM-30-HIP-KNEE-HRRP,,Results are not available for this reporting period.,,,,,,,7/1/18,6/30/21
CALLAHAN EYE HOSPITAL,10018,AL,HF,Heart Failure,READM-30-HF-HRRP,,Results are not available for this reporting period.,,,,,,,7/1/18,6/30/21
CALLAHAN EYE HOSPITAL,10018,AL,COPD,Chronic Obstructive Pulmonary Disease,READM-30-COPD-HRRP,,Results are not available for this reporting period.,,,,,,,7/1/18,6/30/21
CALLAHAN EYE HOSPITAL,10018,AL,AMI,Acute Myocardial Infarction,READM-30-AMI-HRRP,,Results are not available for this reporting period.,,,,,,,7/1/18,6/30/21
CALLAHAN EYE HOSPITAL,10018,AL,CABG,Coronary Artery Bypass Graft,READM-30-CABG-HRRP,,Results are not available for this reporting period.,,,,,,,7/1/18,6/30/21
HELEN KELLER HOSPITAL,10019,AL,HIP-KNEE,Total Hip/Knee Arthroplasty,READM-30-HIP-KNEE-HRRP,220.0,,1.169,4.2507,3.6363,1.168962956851745,1.0,12.0,7/1/18,6/30/21
HELEN KELLER HOSPITAL,10019,AL,HF,Heart Failure,READM-30-HF-HRRP,261.0,,0.9615,18.5911,19.3353,0.9615108118312103,1.0,46.0,7/1/18,6/30/21
HELEN KELLER HOSPITAL,10019,AL,AMI,Acute Myocardial Infarction,READM-30-AMI-HRRP,,The number of cases/patients is too few to report.,,,,,,,7/1/18,6/30/21
HELEN KELLER HOSPITAL,10019,AL,CABG,Coronary Artery Bypass Graft,READM-30-CABG-HRRP,,Results are not available for this reporting period.,,,,,,,7/1/18,6/30/21
HELEN KELLER HOSPITAL,10019,AL,COPD,Chronic Obstructive Pulmonary Disease,READM-30-COPD-HRRP,220.0,,0.9865,17.2882,17.5253,0.9864709876578431,1.0,37.0,7/1/18,6/30/21
HELEN KELLER HOSPITAL,10019,AL,PN,Pneumonia,READM-30-PN-HRRP,274.0,,1.0546,16.4587,15.6073,1.0545513958211863,1.0,49.0,7/1/18,6/30/21
DALE MEDICAL CENTER,10021,AL,CABG,Coronary Artery Bypass Graft,READM-30-CABG-HRRP,,Results are not available for this reporting period.,,,,,,,7/1/18,6/30/21
DALE MEDICAL CENTER,10021,AL,COPD,Chronic Obstructive Pulmonary Disease,READM-30-COPD-HRRP,,,0.9672,19.1543,19.8043,0.9671788449983083,1.0,,7/1/18,6/30/21
DALE MEDICAL CENTER,10021,AL,AMI,Acute Myocardial Infarction,READM-30-AMI-HRRP,,The number of cases/patients is too few to report.,,,,,,,7/1/18,6/30/21
DALE MEDICAL CENTER,10021,AL,HF,Heart Failure,READM-30-HF-HRRP,,,0.9804,20.2293,20.6338,0.9803962430575075,1.0,,7/1/18,6/30/21
DALE MEDICAL CENTER,10021,AL,HIP-KNEE,Total Hip/Knee Arthroplasty,READM-30-HIP-KNEE-HRRP,,Results are not available for this reporting period.,,,,,,,7/1/18,6/30/21
DALE MEDICAL CENTER,10021,AL,PN,Pneumonia,READM-30-PN-HRRP,49.0,,1.0713,16.2986,15.2136,1.0713177683125625,1.0,13.0,7/1/18,6/30/21
CHEROKEE MEDICAL CENTER,10022,AL,CABG,Coronary Artery Bypass Graft,READM-30-CABG-HRRP,,Results are not available for this reporting period.,,,,,,,7/1/18,6/30/21
CHEROKEE MEDICAL CENTER,10022,AL,HF,Heart Failure,READM-30-HF-HRRP,,The number of cases/patients is too few to report.,,,,,,,7/1/18,6/30/21
CHEROKEE MEDICAL CENTER,10022,AL,PN,Pneumonia,READM-30-PN-HRRP,,,1.003,12.6392,12.6012,1.0030155858172238,1.0,,7/1/18,6/30/21
CHEROKEE MEDICAL CENTER,10022,AL,AMI,Acute Myocardial Infarction,READM-30-AMI-HRRP,,Results are not available for this reporting period.,,,,,,,7/1/18,6/30/21
CHEROKEE MEDICAL CENTER,10022,AL,HIP-KNEE,Total Hip/Knee Arthroplasty,READM-30-HIP-KNEE-HRRP,,Results are not available for this reporting period.,,,,,,,7/1/18,6/30/21
CHEROKEE MEDICAL CENTER,10022,AL,COPD,Chronic Obstructive Pulmonary Disease,READM-30-COPD-HRRP,,,0.9884,15.4245,15.6058,0.9883825244460392,1.0,,7/1/18,6/30/21
BAPTIST MEDICAL CENTER SOUTH,10023,AL,PN,Pneumonia,READM-30-PN-HRRP,144.0,,1.0155,18.6332,18.3484,1.0155217893658302,1.0,28.0,7/1/18,6/30/21
BAPTIST MEDICAL CENTER SOUTH,10023,AL,HIP-KNEE,Total Hip/Knee Arthroplasty,READM-30-HIP-KNEE-HRRP,278.0,,0.9969,4.3355,4.3489,0.9969187610660165,1.0,12.0,7/1/18,6/30/21
BAPTIST MEDICAL CENTER SOUTH,10023,AL,HF,Heart Failure,READM-30-HF-HRRP,364.0,,0.9107,19.8167,21.7591,0.9107316019504483,1.0,66.0,7/1/18,6/30/21
BAPTIST MEDICAL CENTER SOUTH,10023,AL,COPD,Chronic Obstructive Pulmonary Disease,READM-30-COPD-HRRP,122.0,,0.9953,20.8012,20.8999,0.9952774893659779,1.0,25.0,7/1/18,6/30/21
BAPTIST MEDICAL CENTER SOUTH,10023,AL,AMI,Acute Myocardial Infarction,READM-30-AMI-HRRP,216.0,,1.1399,17.9666,15.7621,1.139860805349541,1.0,46.0,7/1/18,6/30/21
BAPTIST MEDICAL CENTER SOUTH,10023,AL,CABG,Coronary Artery Bypass Graft,READM-30-CABG-HRRP,,,0.9532,10.7718,11.3007,0.9531975895298521,1.0,,7/1/18,6/30/21
JACKSON HOSPITAL & CLINIC INC,10024,AL,PN,Pneumonia,READM-30-PN-HRRP,271.0,,1.0227,17.4605,17.0735,1.0226667057135328,1.0,49.0,7/1/18,6/30/21
JACKSON HOSPITAL & CLINIC INC,10024,AL,HIP-KNEE,Total Hip/Knee Arthroplasty,READM-30-HIP-KNEE-HRRP,,,1.0037,3.7985,3.7845,1.0036992997753997,1.0,,7/1/18,6/30/21
JACKSON HOSPITAL & CLINIC INC,10024,AL,HF,Heart Failure,READM-30-HF-HRRP,337.0,,1.0003,20.7661,20.7603,1.000279379392398,1.0,70.0,7/1/18,6/30/21
JACKSON HOSPITAL & CLINIC INC,10024,AL,COPD,Chronic Obstructive Pulmonary Disease,READM-30-COPD-HRRP,139.0,,0.9809,18.335,18.6911,0.9809481517941695,1.0,24.0,7/1/18,6/30/21
JACKSON HOSPITAL & CLINIC INC,10024,AL,AMI,Acute Myocardial Infarction,READM-30-AMI-HRRP,160.0,,1.0566,15.6742,14.8341,1.0566330279558585,1.0,28.0,7/1/18,6/30/21
JACKSON HOSPITAL & CLINIC INC,10024,AL,CABG,Coronary Artery Bypass Graft,READM-30-CABG-HRRP,108.0,,1.1035,14.5428,13.1791,1.1034744405915426,1.0,18.0,7/1/18,6/30/21
THE EAST ALABAMA HEALTHCARE AUTHORITY,10029,AL,PN,Pneumonia,READM-30-PN-HRRP,217.0,,0.9737,16.5765,17.0241,0.9737078612085219,1.0,34.0,7/1/18,6/30/21
THE EAST ALABAMA HEALTHCARE AUTHORITY,10029,AL,HF,Heart Failure,READM-30-HF-HRRP,324.0,,1.0249,21.1066,20.5931,1.0249355366603377,1.0,70.0,7/1/18,6/30/21
THE EAST ALABAMA HEALTHCARE AUTHORITY,10029,AL,COPD,Chronic Obstructive Pulmonary Disease,READM-30-COPD-HRRP,209.0,,1.0692,21.355,19.9736,1.0691612929066368,1.0,50.0,7/1/18,6/30/21
THE EAST ALABAMA HEALTHCARE AUTHORITY,10029,AL,AMI,Acute Myocardial Infarction,READM-30-AMI-HRRP,113.0,,1.0048,13.9423,13.8758,1.0047925164675189,1.0,16.0,7/1/18,6/30/21
THE EAST ALABAMA HEALTHCARE AUTHORITY,10029,AL,CABG,Coronary Artery Bypass Graft,READM-30-CABG-HRRP,,,0.8324,8.3873,10.0761,0.8323954704697254,1.0,,7/1/18,6/30/21
THE EAST ALABAMA HEALTHCARE AUTHORITY,10029,AL,HIP-KNEE,Total Hip/Knee Arthroplasty,READM-30-HIP-KNEE-HRRP,374.0,,0.914,3.883,4.2483,0.914012663889085,1.0,13.0,7/1/18,6/30/21
UNIVERSITY OF ALABAMA HOSPITAL,10033,AL,PN,Pneumonia,READM-30-PN-HRRP,366.0,,1.0813,18.6034,17.2048,1.0812912675532411,1.0,74.0,7/1/18,6/30/21
UNIVERSITY OF ALABAMA HOSPITAL,10033,AL,COPD,Chronic Obstructive Pulmonary Disease,READM-30-COPD-HRRP,140.0,,1.0129,19.9822,19.7272,1.0129263149357233,1.0,29.0,7/1/18,6/30/21
UNIVERSITY OF ALABAMA HOSPITAL,10033,AL,CABG,Coronary Artery Bypass Graft,READM-30-CABG-HRRP,303.0,,0.9444,12.3122,13.0373,0.9443826559180198,1.0,36.0,7/1/18,6/30/21
UNIVERSITY OF ALABAMA HOSPITAL,10033,AL,AMI,Acute Myocardial Infarction,READM-30-AMI-HRRP,277.0,,1.0646,16.84,15.8176,1.0646368602063523,1.0,50.0,7/1/18,6/30/21
UNIVERSITY OF ALABAMA HOSPITAL,10033,AL,HIP-KNEE,Total Hip/Knee Arthroplasty,READM-30-HIP-KNEE-HRRP,91.0,,1.347,6.3611,4.7226,1.3469487146910601,0.0,11.0,7/1/18,6/30/21
UNIVERSITY OF ALABAMA HOSPITAL,10033,AL,HF,Heart Failure,READM-30-HF-HRRP,676.0,,1.0131,22.3564,22.0675,1.013091650617424,1.0,152.0,7/1/18,6/30/21
COMMUNITY HOSPITAL INC,10034,AL,CABG,Coronary Artery Bypass Graft,READM-30-CABG-HRRP,,Results are not available for this reporting period.,,,,,,,7/1/18,6/30/21
COMMUNITY HOSPITAL INC,10034,AL,HIP-KNEE,Total Hip/Knee Arthroplasty,READM-30-HIP-KNEE-HRRP,,Results are not available for this reporting period.,,,,,,,7/1/18,6/30/21
COMMUNITY HOSPITAL INC,10034,AL,HF,Heart Failure,READM-30-HF-HRRP,,,1.0049,16.7722,16.6904,1.0049010209461726,1.0,,7/1/18,6/30/21
COMMUNITY HOSPITAL INC,10034,AL,AMI,Acute Myocardial Infarction,READM-30-AMI-HRRP,,The number of cases/patients is too few to report.,,,,,,,7/1/18,6/30/21
COMMUNITY HOSPITAL INC,10034,AL,PN,Pneumonia,READM-30-PN-HRRP,,The number of cases/patients is too few to report.,,,,,,,7/1/18,6/30/21
COMMUNITY HOSPITAL INC,10034,AL,COPD,Chronic Obstructive Pulmonary Disease,READM-30-COPD-HRRP,,,0.981,15.7978,16.1033,0.9810287332410127,1.0,,7/1/18,6/30/21
CULLMAN REGIONAL MEDICAL CENTER,10035,AL,CABG,Coronary Artery Bypass Graft,READM-30-CABG-HRRP,,Results are not available for this reporting period.,,,,,,,7/1/18,6/30/21
CULLMAN REGIONAL MEDICAL CENTER,10035,AL,HIP-KNEE,Total Hip/Knee Arthroplasty,READM-30-HIP-KNEE-HRRP,,,1.0399,4.8295,4.6443,1.0398768382748746,1.0,,7/1/18,6/30/21
CULLMAN REGIONAL MEDICAL CENTER,10035,AL,HF,Heart Failure,READM-30-HF-HRRP,414.0,,1.1015,21.186,19.2329,1.101549948265732,1.0,94.0,7/1/18,6/30/21
CULLMAN REGIONAL MEDICAL CENTER,10035,AL,AMI,Acute Myocardial Infarction,READM-30-AMI-HRRP,,,0.9367,13.223,14.1173,0.9366521926997372,1.0,,7/1/18,6/30/21
CULLMAN REGIONAL MEDICAL CENTER,10035,AL,PN,Pneumonia,READM-30-PN-HRRP,353.0,,1.152,18.2637,15.8539,1.152000454146929,1.0,75.0,7/1/18,6/30/21
CULLMAN REGIONAL MEDICAL CENTER,10035,AL,COPD,Chronic Obstructive Pulmonary Disease,READM-30-COPD-HRRP,167.0,,1.0339,19.3957,18.7593,1.0339245067779717,1.0,35.0,7/1/18,6/30/21
ANDALUSIA HEALTH,10036,AL,PN,Pneumonia,READM-30-PN-HRRP,160.0,,1.0051,17.2647,17.1778,1.0050588550338226,1.0,28.0,7/1/18,6/30/21
ANDALUSIA HEALTH,10036,AL,CABG,Coronary Artery Bypass Graft,READM-30-CABG-HRRP,,Results are not available for this reporting period.,,,,,,,7/1/18,6/30/21
ANDALUSIA HEALTH,10036,AL,HIP-KNEE,Total Hip/Knee Arthroplasty,READM-30-HIP-KNEE-HRRP,,,1.0769,5.2221,4.849,1.0769436997319035,1.0,,7/1/18,6/30/21
ANDALUSIA HEALTH,10036,AL,AMI,Acute Myocardial Infarction,READM-30-AMI-HRRP,,The number of cases/patients is too few to report.,,,,,,,7/1/18,6/30/21
ANDALUSIA HEALTH,10036,AL,HF,Heart Failure,READM-30-HF-HRRP,229.0,,1.0025,22.1968,22.1405,1.0025428513357875,1.0,51.0,7/1/18,6/30/21
ANDALUSIA HEALTH,10036,AL,COPD,Chronic Obstructive Pulmonary Disease,READM-30-COPD-HRRP,119.0,,0.9608,20.3322,21.1612,0.9608245279095703,1.0,21.0,7/1/18,6/30/21
STRINGFELLOW CAMPUS OF NORTHEAST RMC,10038,AL,CABG,Coronary Artery Bypass Graft,READM-30-CABG-HRRP,,Results are not available for this reporting period.,,,,,,,7/1/18,6/30/21
STRINGFELLOW CAMPUS OF NORTHEAST RMC,10038,AL,HIP-KNEE,Total Hip/Knee Arthroplasty,READM-30-HIP-KNEE-HRRP,,,1.1882,4.8185,4.0552,1.18822746103768,1.0,,7/1/18,6/30/21
STRINGFELLOW CAMPUS OF NORTHEAST RMC,10038,AL,AMI,Acute Myocardial Infarction,READM-30-AMI-HRRP,,The number of cases/patients is too few to report.,,,,,,,7/1/18,6/30/21
STRINGFELLOW CAMPUS OF NORTHEAST RMC,10038,AL,COPD,Chronic Obstructive Pulmonary Disease,READM-30-COPD-HRRP,100.0,,0.9711,17.2456,17.759,0.9710907145672616,1.0,15.0,7/1/18,6/30/21
STRINGFELLOW CAMPUS OF NORTHEAST RMC,10038,AL,PN,Pneumonia,READM-30-PN-HRRP,,,0.9644,15.1699,15.7295,0.9644235353952764,1.0,,7/1/18,6/30/21
STRINGFELLOW CAMPUS OF NORTHEAST RMC,10038,AL,HF,Heart Failure,READM-30-HF-HRRP,,,0.9478,16.9722,17.9068,0.947807536801662,1.0,,7/1/18,6/30/21
HUNTSVILLE HOSPITAL,10039,AL,PN,Pneumonia,READM-30-PN-HRRP,1296.0,,1.0202,16.63,16.3013,1.020164035997129,1.0,217.0,7/1/18,6/30/21
HUNTSVILLE HOSPITAL,10039,AL,AMI,Acute Myocardial Infarction,READM-30-AMI-HRRP,770.0,,0.9839,12.9653,13.1775,0.9838967937772718,1.0,99.0,7/1/18,6/30/21
HUNTSVILLE HOSPITAL,10039,AL,HF,Heart Failure,READM-30-HF-HRRP,1243.0,,0.9776,20.4729,20.9409,0.9776513903413894,0.0,253.0,7/1/18,6/30/21
HUNTSVILLE HOSPITAL,10039,AL,CABG,Coronary Artery Bypass Graft,READM-30-CABG-HRRP,289.0,,0.8528,9.5173,11.1595,0.8528428693041804,1.0,24.0,7/1/18,6/30/21
HUNTSVILLE HOSPITAL,10039,AL,COPD,Chronic Obstructive Pulmonary Disease,READM-30-COPD-HRRP,565.0,,0.9984,18.4296,18.46,0.998353196099675,1.0,104.0,7/1/18,6/30/21
HUNTSVILLE HOSPITAL,10039,AL,HIP-KNEE,Total Hip/Knee Arthroplasty,READM-30-HIP-KNEE-HRRP,776.0,,1.2514,5.0462,4.0325,1.2513825170489772,1.0,43.0,7/1/18,6/30/21
GADSDEN REGIONAL MEDICAL CENTER,10040,AL,HIP-KNEE,Total Hip/Knee Arthroplasty,READM-30-HIP-KNEE-HRRP,,,0.8026,3.9013,4.8607,0.8026210216635464,1.0,,7/1/18,6/30/21
GADSDEN REGIONAL MEDICAL CENTER,10040,AL,AMI,Acute Myocardial Infarction,READM-30-AMI-HRRP,185.0,,1.0463,15.9831,15.2756,1.0463156930006023,1.0,32.0,7/1/18,6/30/21
GADSDEN REGIONAL MEDICAL CENTER,10040,AL,HF,Heart Failure,READM-30-HF-HRRP,285.0,,1.0224,24.0313,23.5058,1.0223561844310767,1.0,70.0,7/1/18,6/30/21
GADSDEN REGIONAL MEDICAL CENTER,10040,AL,COPD,Chronic Obstructive Pulmonary Disease,READM-30-COPD-HRRP,166.0,,1.0129,21.0576,20.7892,1.0129105497085025,1.0,36.0,7/1/18,6/30/21
GADSDEN REGIONAL MEDICAL CENTER,10040,AL,PN,Pneumonia,READM-30-PN-HRRP,322.0,,0.9413,17.5677,18.6634,0.9412915117288382,1.0,52.0,7/1/18,6/30/21
GADSDEN REGIONAL MEDICAL CENTER,10040,AL,CABG,Coronary Artery Bypass Graft,READM-30-CABG-HRRP,,,0.9205,10.5874,11.5017,0.9205074032534322,1.0,,7/1/18,6/30/21
MARION REGIONAL MEDICAL CENTER,10044,AL,HF,Heart Failure,READM-30-HF-HRRP,,,0.9511,16.9463,17.8178,0.9510882376050916,1.0,,7/1/18,6/30/21
MARION REGIONAL MEDICAL CENTER,10044,AL,AMI,Acute Myocardial Infarction,READM-30-AMI-HRRP,,Results are not available for this reporting period.,,,,,,,7/1/18,6/30/21
MARION REGIONAL MEDICAL CENTER,10044,AL,PN,Pneumonia,READM-30-PN-HRRP,,,0.996,14.5142,14.5728,0.9959788098375055,1.0,,7/1/18,6/30/21
MARION REGIONAL MEDICAL CENTER,10044,AL,COPD,Chronic Obstructive Pulmonary Disease,READM-30-COPD-HRRP,,,0.9597,17.3118,18.0385,0.9597139451728249,1.0,,7/1/18,6/30/21
